"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MF";"MOUSER";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"A";"TACTILEGBA_SP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"ALPS";"";"SKRRAAE010";"";"";"";
"B";"TACTILEGBA_SP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"ALPS";"688-SKRRAA";"SKRRAAE010";"";"";"";
"BATT";"DNP";"HEADER-1X2";"HEADER-1X2";"";"";"";"";"";"";"";"";
"BLUE";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"160-1827-1-ND";"Lite-On";"";"LTST-C193TBKT-5A";"";"";"";
"BRIGHTNESS";"TACTILE";"TACTILE";"TL3315";"";"EG4621CT-ND";"E-switch";"";"TL3315NF160Q";"";"";"";
"C1";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"587-5464-1-ND";"Taiyo Yuden";"";"LMK212BBJ226MG-T";"";"";"";
"C2";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C3";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"587-5464-1-ND";"Taiyo Yuden";"";"LMK212BBJ226MG-T";"";"";"";
"C4";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"587-5464-1-ND";"Taiyo Yuden";"";"LMK212BBJ226MG-T";"";"";"";
"C5";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"587-5464-1-ND";"Taiyo Yuden";"";"LMK212BBJ226MG-T";"";"";"";
"C6";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C7";"10nF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"490-4516-1-ND";"Murata";"";"GRM155R71H103KA88D";"";"";"";
